Category ID,Category Name,Description
1,Computer Accessories,"Monitor arms, hubs, cables, keyboards, mice, webcams, adapters, accessories"
2,Data Storage,"SSDs, HDDs, USB flash drives, memory cards, external storage"
3,Gaming,"Gaming headsets, gaming accessories, gaming peripherals"
4,Networking & Wireless,"Routers, Wi-Fi mesh systems, switches, access points, range extenders"
5,Office Essentials,"Office equipment, monitor mounts, projectors, productivity accessories"
6,Power Bank,Portable chargers and fast-charging power banks
